game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
605604,Resident Evil 6,/xbox360/605604-resident-evil-6,xbox360,0,1,1,67,67,74,,,74,67,1
605673,EyePet: Move Edition,/ps3/605673-eyepet-move-edition,ps3,0,1,0,70,70,,,,70,,1
605724,Outland,/xbox360/605724-outland,xbox360,0,1,1,84,84,83,,,83,84,1
605742,Super Mario All-Stars: 25th Anniversary Edition,/wii/605742-super-mario-all-stars-25th-anniversary-edition,wii,1,0,0,70,70,,,70,,,1
605744,ilomilo,/xbox360/605744-ilomilo,xbox360,0,0,1,81,81,,,,,81,1
605745,Lucha Fury,/xbox360/605745-lucha-fury,xbox360,0,1,1,37,,37,,,,37,1
605747,Top Spin 4,/xbox360/605747-top-spin-4,xbox360,1,1,1,84,84,54,82,54,82,84,1
605791,Dance! It's Your Stage,/xbox360/605791-dance-its-your-stage,xbox360,1,1,1,61,61,,,,,61,1
605800,Dynasty Warriors: Gundam 3,/ps3/605800-dynasty-warriors-gundam-3,ps3,0,1,0,58,58,65,,,58,65,1
605803,Bastion,/xbox360/605803-bastion,xbox360,0,0,1,86,86,,,,,86,1
605819,NBA Jam,/xbox360/605819-nba-jam,xbox360,1,1,1,,,,,79,71,75,1
605821,Section 8: Prejudice,/ps3/605821-section-8-prejudice,ps3,0,1,0,70,70,76,,,70,76,1
605959,Doc Clock: The Toasted Sandwich of Time,/wii/605959-doc-clock-the-toasted-sandwich-of-time,wii,1,1,0,43,43,54,,43,54,,1
605961,MX vs. ATV Alive,/ps3/605961-mx-vs-atv-alive,ps3,0,1,0,61,61,63,,,61,63,1
605975,Asura's Wrath,/xbox360/605975-asuras-wrath,xbox360,0,1,1,71,71,71,,,71,71,1
605976,Dead Rising 2: Case West,/xbox360/605976-dead-rising-2-case-west,xbox360,0,0,1,74,74,,,,,74,1
605993,Ninja Gaiden 3,/xbox360/605993-ninja-gaiden-3,xbox360,0,1,1,58,58,58,,,,58,1
606283,Radiant Silvergun,/xbox360/606283-radiant-silvergun,xbox360,0,0,1,86,86,,,,,86,1
606286,Diabolical Pitch,/xbox360/606286-diabolical-pitch,xbox360,0,0,1,56,56,,,,,56,1
606288,Rise of Nightmares,/xbox360/606288-rise-of-nightmares,xbox360,0,0,1,54,54,,,,,54,1
606289,Steel Battalion: Heavy Armor,/xbox360/606289-steel-battalion-heavy-armor,xbox360,0,0,1,38,38,,,,,38,1
606290,Fire Pro Wrestling,/xbox360/606290-fire-pro-wrestling,xbox360,0,0,1,48,48,,,,,48,1
606303,Dynasty Warriors 7,/ps3/606303-dynasty-warriors-7,ps3,0,1,0,57,57,58,,,57,58,1
606312,Dark Souls,/ps3/606312-dark-souls,ps3,0,1,0,89,89,89,,,89,89,1
606327,Earth Defense Force: Insect Armageddon,/ps3/606327-earth-defense-force-insect-armageddon,ps3,0,1,0,63,63,68,,,63,68,1
606350,Body and Brain Connection,/xbox360/606350-body-and-brain-connection,xbox360,0,0,1,57,57,,,,,57,1
606544,Robox,/wii/606544-robox,wii,1,0,0,,,,,50,,,1
606553,Sky Fighter,/ps3/606553-sky-fighter,ps3,0,1,0,73,73,,,,73,,1
608655,You Don't Know Jack,/ps3/608655-you-dont-know-jack,ps3,1,1,0,82,82,82,81,81,82,82,1
609164,Unbound Saga,/xbox360/609164-unbound-saga,xbox360,0,0,1,51,51,,,,,51,1
609388,Dust: An Elysian Tail,/xbox360/609388-dust-an-elysian-tail,xbox360,0,0,1,83,83,,,,,83,1
609390,Jam City Rollergirls,/wii/609390-jam-city-rollergirls,wii,1,0,0,59,59,,,59,,,1
609526,StarDrone,/ps3/609526-stardrone,ps3,0,1,0,64,64,,,,64,,1
609557,Rhythm Heaven Fever,/wii/609557-rhythm-heaven-fever,wii,1,0,0,83,83,,,83,,,1
609593,NASCAR 2011: The Game,/xbox360/609593-nascar-2011-the-game,xbox360,1,1,1,,,,,42,62,62,1
609595,Beyond Good & Evil HD,/ps3/609595-beyond-good-and-evil-hd,ps3,0,1,0,83,83,84,,,83,84,1
610121,Retro/Grade,/ps3/610121-retro-grade,ps3,0,1,0,78,78,,,,78,,1
610133,X-Men: Destiny,/ps3/610133-x-men-destiny,ps3,1,1,0,50,50,47,36,36,50,47,1
610420,X-Men: The Arcade Game,/ps3/610420-x-men-the-arcade-game,ps3,0,1,0,64,64,70,,,64,70,1
610675,chick chick BOOM,/wii/610675-chick-chick-boom,wii,1,0,0,72,72,,,72,,,1
610678,Shoot Many Robots,/xbox360/610678-shoot-many-robots,xbox360,0,1,1,67,67,65,,,65,67,1
610762,ThruSpace,/wii/610762-thruspace,wii,1,0,0,73,73,,,73,,,1
610767,MicroBot,/xbox360/610767-microbot,xbox360,0,1,1,60,60,62,,,62,60,1
610876,Space Channel 5 Part 2,/ps3/610876-space-channel-5-part-2,ps3,0,1,0,73,73,78,,,73,78,1
610892,Fantastic Pets,/xbox360/610892-fantastic-pets,xbox360,0,0,1,66,66,,,,,66,1
610924,Rune Factory: Tides of Destiny,/ps3/610924-rune-factory-tides-of-destiny,ps3,1,1,0,55,,55,,,55,,1
611171,The UnderGarden,/ps3/611171-the-undergarden,ps3,0,1,0,63,68,63,,,63,68,1
611212,Cartoon Network: Punch Time Explosion XL,/wii/611212-cartoon-network-punch-time-explosion-xl,wii,1,1,0,62,59,62,52,62,59,52,1
611419,Hybrid,/xbox360/611419-hybrid,xbox360,0,0,1,73,73,,,,,73,1
611500,Way of the Samurai 4,/ps3/611500-way-of-the-samurai-4,ps3,0,1,0,58,58,,,,58,,1
611501,Mamorukun Curse!,/ps3/611501-mamorukun-curse,ps3,0,1,0,71,71,,,,71,,1
611664,Rango,/wii/611664-rango,wii,1,1,0,52,52,65,68,52,65,68,1
611666,Sniper: Ghost Warrior,/ps3/611666-sniper-ghost-warrior,ps3,0,1,0,53,53,45,,,53,45,1
