game_id,game_name,genre1,genre2,genre3,genre4,genre_wide,genre_narrow,release_day,release_month,release_year
939398,Nicktoons: Attack of the Toybots,Action,Platformer,2D,,action,action-platformer,23,10,2007
935378,Battlestar Galactica,Action,Shooter,Third-Person,Arcade,action,action-shooter,24,10,2007
939093,Guitar Hero III: Legends of Rock,Action,Rhythm,Music,,action,action-rhythm,28,10,2007
928103,Stranglehold,Action,Shooter,Third-Person,Arcade,action,action-shooter,29,10,2007
937722,High School Musical: Sing It!,Action,Rhythm,Music,,action,action-rhythm,30,10,2007
929531,TimeShift,Action,Shooter,First-Person,Arcade,action,action-shooter,30,10,2007
941641,Bee Movie Game,Action,General,,,action,action-general,30,10,2007
939346,Ben 10: Protector of Earth,Action,Beat-'Em-Up,3D,,action,action-beatemup,30,10,2007
939417,The Simpsons Game,Action,Platformer,3D,,action,action-platformer,30,10,2007
933066,Mutant Storm Empire,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,31,10,2007
939212,Call of Duty 4: Modern Warfare,Action,Shooter,First-Person,Arcade,action,action-shooter,5,11,2007
939578,LEGO Star Wars: The Complete Saga,Action,General,,,action,action-general,6,11,2007
937017,Bladestorm: The Hundred Years' War,Action,Beat-'Em-Up,3D,,action,action-beatemup,6,11,2007
941969,F.E.A.R. Files,Action,Shooter,First-Person,Arcade,action,action-shooter,6,11,2007
915692,Super Mario Galaxy,Action,Platformer,3D,,action,action-platformer,12,11,2007
939402,SpongeBob's Atlantis SquarePantis,Action,General,,,action,action-general,12,11,2007
933020,Resident Evil: The Umbrella Chronicles,Action,Shooter,Light Gun,,action,action-shooter,13,11,2007
942015,Medal of Honor Heroes 2,Action,Shooter,First-Person,Arcade,action,action-shooter,13,11,2007
939210,Kane & Lynch: Dead Men,Action,Shooter,Third-Person,Tactical,action,action-shooter,13,11,2007
943781,Screwjumper!,Action,General,,,action,action-general,14,11,2007
939986,America's Army: True Soldiers,Action,Shooter,First-Person,Arcade,action,action-shooter,15,11,2007
939859,Code Lyoko: Quest for Infinity,Action,General,,,action,action-general,16,11,2007
943775,Spy Games: Elevator Mission,Action,Shooter,Rail,,action,action-shooter,16,11,2007
941655,Soldier of Fortune: Payback,Action,Shooter,First-Person,Arcade,action,action-shooter,19,11,2007
943270,Link's Crossbow Training,Action,Shooter,Light Gun,,action,action-shooter,19,11,2007
939731,Geometry Wars: Galaxies,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,20,11,2007
938758,Time Crisis 4,Action,Shooter,Light Gun,,action,action-shooter,20,11,2007
938870,Rock Band,Action,Rhythm,Music,,action,action-rhythm,20,11,2007
939450,Ghost Squad,Action,Shooter,Light Gun,,action,action-shooter,20,11,2007
939205,Undertow,Action,General,,,action,action-general,21,11,2007
939541,PAIN,Action,General,,,action,action-general,29,11,2007
939645,Dragon Ball Z: Budokai Tenkaichi 3,Action,Fighting,3D,,action,action-fighting,3,12,2007
942056,Dance Dance Revolution Universe 2,Action,Rhythm,Dancing,,action,action-rhythm,4,12,2007
942807,Alvin and the Chipmunks,Action,Rhythm,Music,,action,action-rhythm,4,12,2007
942745,The History Channel: Battle for the Pacific,Action,Shooter,First-Person,Arcade,action,action-shooter,4,12,2007
937062,BlackSite: Area 51,Action,Shooter,First-Person,Arcade,action,action-shooter,10,12,2007
938874,NiGHTS: Journey of Dreams,Action,Platformer,3D,,action,action-platformer,18,12,2007
936565,Tempest,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,19,12,2007
943001,The Trials of Topoq,Action,General,,,action,action-general,20,12,2007
943780,SpongeBob SquarePants: Underpants Slam!,Action,General,,,action,action-general,26,12,2007
943401,Metal Slug 3,Action,Shooter,Shoot-'Em-Up,Horizontal,action,action-shooter,2,1,2008
939318,Tron,Action,General,,,action,action-general,9,1,2008
943283,Omega Five,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,9,1,2008
933004,Samurai Warriors: Katana,Action,Shooter,First-Person,Tactical,action,action-shooter,16,1,2008
933024,No More Heroes,Action,Beat-'Em-Up,3D,,action,action-beatemup,22,1,2008
933029,One Piece: Unlimited Adventure,Action,General,,,action,action-general,22,1,2008
943279,Rez HD,Action,Shooter,Rail,,action,action-shooter,30,1,2008
930159,Turok,Action,Shooter,First-Person,Arcade,action,action-shooter,5,2,2008
944442,"""Go, Diego, Go!: Safari Rescue""",Action,General,,,action,action-general,11,2,2008
935837,Conflict: Denied Ops,Action,Shooter,First-Person,Arcade,action,action-shooter,12,2,2008
938088,Dark Messiah of Might and Magic: Elements,Action,Shooter,First-Person,Arcade,action,action-shooter,12,2,2008
943992,Jumper: Griffin's Story,Action,General,,,action,action-general,12,2,2008
939319,Discs of Tron,Action,General,,,action,action-general,13,2,2008
942654,Dynasty Warriors 6,Action,Beat-'Em-Up,3D,,action,action-beatemup,19,2,2008
932917,The Club,Action,Shooter,Third-Person,Arcade,action,action-shooter,19,2,2008
943855,N+,Action,Platformer,2D,,action,action-platformer,20,2,2008
932615,Frontlines: Fuel of War,Action,Shooter,First-Person,Arcade,action,action-shooter,25,2,2008
935323,Turning Point: Fall of Liberty,Action,Shooter,First-Person,Arcade,action,action-shooter,26,2,2008
943729,Lost Planet: Extreme Condition,Action,Shooter,Third-Person,Arcade,action,action-shooter,26,2,2008
943281,Triggerheart Exelica,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,27,2,2008
944054,Ninja Reflex,Action,General,,,action,action-general,4,3,2008
932860,Army of Two,Action,Shooter,Third-Person,Arcade,action,action-shooter,6,3,2008
